filename,status,execution_time_seconds,error_message
workload_500t_10o_300k_100r_2.json,success,0.61,
workload_500t_10o_300k_80r_3.json,success,0.62,
workload_500t_15o_300k_50r_2.json,success,0.63,
workload_500t_10o_300k_40r_2.json,success,0.68,
workload_100t_10o_300k_50r_2.json,success,0.65,
workload_500t_30o_300k_50r_1.json,success,0.72,
workload_500t_60o_300k_50r_2.json,success,0.79,
workload_500t_100o_300k_50r_3.json,success,0.87,
workload_500t_10o_800k_50r_3.json,success,0.68,
workload_500t_20o_300k_50r_2.json,success,0.76,
workload_200t_10o_300k_50r_2.json,success,0.65,
workload_500t_10o_300k_80r_1.json,success,0.69,
workload_500t_10o_300k_60r_1.json,success,0.73,
workload_500t_10o_300k_20r_2.json,success,0.68,
workload_500t_10o_700k_50r_3.json,success,0.71,
workload_500t_10o_600k_50r_2.json,success,0.72,
workload_200t_10o_300k_50r_3.json,success,0.71,
workload_500t_10o_900k_50r_2.json,success,0.76,
workload_500t_40o_300k_50r_3.json,success,0.81,
workload_500t_80o_300k_50r_1.json,success,0.89,
workload_500t_10o_300k_50r_2.json,success,0.76,
workload_500t_10o_600k_50r_1.json,success,0.80,
workload_500t_10o_700k_50r_2.json,success,0.81,
workload_500t_10o_300k_0r_1.json,success,0.76,
workload_500t_80o_300k_50r_3.json,success,0.84,
workload_500t_10o_500k_50r_2.json,success,0.69,
workload_500t_10o_300k_100r_1.json,success,0.63,
workload_500t_10o_800k_50r_1.json,success,0.74,
workload_500t_10o_600k_50r_3.json,success,0.74,
workload_200t_10o_300k_50r_1.json,success,0.66,
workload_500t_10o_300k_40r_1.json,success,0.69,
workload_500t_10o_500k_50r_1.json,success,0.71,
workload_500t_10o_300k_0r_2.json,success,0.71,
workload_500t_15o_300k_50r_1.json,success,0.71,
workload_500t_30o_300k_50r_2.json,success,0.74,
workload_500t_10o_100k_50r_2.json,success,0.75,
workload_500t_10o_800k_50r_2.json,success,0.93,
workload_500t_10o_1000k_50r_2.json,success,0.94,
workload_500t_40o_300k_50r_1.json,success,1.10,
workload_500t_60o_300k_50r_1.json,success,1.24,
workload_500t_10o_700k_50r_1.json,success,0.99,
workload_500t_10o_1000k_50r_1.json,success,0.99,
workload_500t_20o_300k_50r_3.json,success,0.94,
workload_500t_10o_300k_50r_3.json,success,0.74,
workload_500t_10o_300k_60r_2.json,success,0.65,
workload_500t_10o_500k_50r_3.json,success,0.66,
workload_500t_10o_300k_60r_3.json,success,0.67,
workload_500t_100o_300k_50r_2.json,success,0.97,
workload_500t_10o_900k_50r_3.json,success,0.72,
workload_500t_15o_300k_50r_3.json,success,0.76,
workload_500t_100o_300k_50r_1.json,success,0.93,
workload_500t_10o_300k_20r_3.json,success,0.72,
workload_500t_10o_1000k_50r_3.json,success,0.77,
workload_500t_10o_300k_20r_1.json,success,0.70,
workload_500t_40o_300k_50r_2.json,success,0.76,
workload_500t_10o_300k_40r_3.json,success,0.72,
workload_500t_60o_300k_50r_3.json,success,0.77,
workload_500t_10o_900k_50r_1.json,success,0.72,
workload_500t_20o_300k_50r_1.json,success,0.70,
workload_500t_10o_300k_0r_3.json,success,0.73,
workload_500t_10o_300k_100r_3.json,success,0.66,
workload_500t_30o_300k_50r_3.json,success,0.75,
workload_500t_80o_300k_50r_2.json,success,0.80,
workload_500t_10o_300k_50r_1.json,success,0.72,
workload_100t_10o_300k_50r_1.json,success,0.64,
workload_500t_10o_100k_50r_1.json,success,0.67,
workload_500t_10o_300k_80r_2.json,success,0.72,
workload_100t_10o_300k_50r_3.json,success,0.81,
workload_500t_10o_100k_50r_3.json,success,0.83,
